customer_id,recency,frequency,monetary,log_recency,log_frequency,log_monetary,cluster_name
394,4,0.563,865.0,1.6094379124341003,0.44660705143933954,6.763884908562435,1
395,10,1.0588,639.9000000000001,2.3978952727983707,0.7221232887964624,6.462873438510181,1
396,0,1.3109,870.4500000000003,0.0,0.8376370590448927,6.770158490967691,0
397,5,0.3109,149.30000000000004,1.791759469228055,0.2707139242216265,5.012633296758929,1
398,0,0.9832,555.4000000000001,0.0,0.6847117017388437,6.321487460049288,0
399,2,0.8067,463.0,1.0986122886681098,0.5915019767977444,6.139884552226255,2
400,2,0.9244,778.8499999999998,1.0986122886681098,0.6546142308431616,6.659101593497835,2
401,3,0.8067,401.30000000000007,1.3862943611198906,0.5915019767977444,5.997198078955742,2
402,11,0.5798,374.0,2.4849066497880004,0.4572982567481817,5.926926025970411,1
403,2,1.3361,753.3,1.0986122886681098,0.8484828722689131,6.625790166859585,2
404,2,0.8824,390.05,1.0986122886681098,0.6325475584310156,5.968835429047621,2
405,3,0.3529,187.5,1.3862943611198906,0.3022504366271775,5.2390980068880655,2
406,5,1.3025,831.7499999999994,1.791759469228055,0.8339954891473248,6.724733477073788,2
407,0,0.8739,457.6499999999999,0.0,0.6280218205994831,6.128287391955665,0
408,2,1.1849,896.7000000000003,1.0986122886681098,0.7815700609098422,6.799835936762643,2
409,10,1.3193,831.9499999999998,2.3978952727983707,0.8412654160124017,6.724973616355726,1
410,2,1.5126,912.45,1.0986122886681098,0.9213180735881804,6.817228639782579,2
411,3,0.8908,441.2999999999998,1.3862943611198906,0.6370000199369442,6.091988384874281,2
412,5,0.4706,194.5,1.791759469228055,0.3856704807799849,5.27556037942542,1
413,19,0.3613,368.3,2.995732273553991,0.30844012553629035,5.911609321858518,1
414,0,0.8739,594.5,0.0,0.6280218205994831,6.3894013887953545,0
415,18,0.395,248.0,2.9444389791664403,0.33289441527332897,5.517452896464707,1
416,5,0.7059,549.8999999999999,1.791759469228055,0.5340928307043368,6.311553304478671,1
417,5,0.6134,274.75,1.791759469228055,0.4783437535207369,5.619494658133612,1
418,8,0.8319,665.6499999999999,2.1972245773362196,0.6053536796092763,6.502265170561468,1
419,4,0.479,286.6,1.6094379124341003,0.3913661837286628,5.661570625846892,2
420,2,1.916,1321.249999999999,1.0986122886681098,1.0702128141464118,7.187090109946088,2
421,2,0.4874,278.2999999999999,1.0986122886681098,0.39702962928706276,5.63228647295113,2
422,6,0.4538,264.04999999999995,1.9459101490553132,0.374180818068398,5.579918487433815,1
423,5,0.605,483.85,1.791759469228055,0.4731237565819792,6.1838395647505555,1
424,2,1.0672,597.0500000000001,1.0986122886681098,0.7261950346061457,6.3936743624954735,2
425,1,0.7395,555.25,0.6931471805599453,0.5535977156098597,6.32121783348045,2
426,3,0.7899,403.5499999999998,1.3862943611198906,0.5821597523703173,6.002775338253848,2
427,25,0.0588,28.0,3.258096538021482,0.05713619137080915,3.367295829986474,1
428,0,1.2773,787.2,0.0,0.8229905307086952,6.6697518647609035,0
429,6,1.2017,761.0000000000002,1.9459101490553132,0.7892297892369897,6.635946555686647,2
430,0,1.2017,882.45,0.0,0.7892297892369897,6.783834697062659,0
431,1,0.7647,476.1499999999999,0.6931471805599453,0.5679807042670505,6.167830906863263,2
432,1,1.395,1057.4,0.6931471805599453,0.8733832308628786,6.964513612800746,2
433,3,0.7899,514.0,1.3862943611198906,0.5821597523703173,6.244166900663736,2
434,0,0.7731,458.55,0.0,0.5727294270808059,6.130247749804118,0
